,date,mean
0,2020-01-01,105.8823529
1,2020-01-02,150.6470588
2,2020-01-03,173.7058824
3,2020-01-04,142
4,2020-01-05,55.70588235
5,2020-01-06,40.05882353
6,2020-01-07,58.29411765
7,2020-01-08,81.11764706
8,2020-01-09,111.2352941
9,2020-01-10,112.7058824
10,2020-01-11,76.70588235
11,2020-01-12,102.5882353
12,2020-01-13,84.29411765
13,2020-01-14,88.05882353
14,2020-01-15,108.8235294
15,2020-01-16,119.4705882
16,2020-01-17,127
17,2020-01-18,126.5294118
18,2020-01-19,97
19,2020-01-20,87.35294118
20,2020-01-21,98.05882353
21,2020-01-22,123.8235294
22,2020-01-23,98.35294118
23,2020-01-24,88.17647059
24,2020-01-25,86.70588235
25,2020-01-26,68.11764706
26,2020-01-27,69.82352941
27,2020-01-28,76.58823529
28,2020-01-29,66.05882353
29,2020-01-30,66.23529412
30,2020-01-31,86
31,2020-02-01,68
32,2020-02-02,56.70588235
33,2020-02-03,61.11764706
34,2020-02-04,37.35294118
35,2020-02-05,43.41176471
36,2020-02-06,62
37,2020-02-07,78.05882353
38,2020-02-08,93.64705882
39,2020-02-09,79.05882353
40,2020-02-10,62.41176471
41,2020-02-11,54.17647059
42,2020-02-12,57.82352941
43,2020-02-13,42.23529412
44,2020-02-14,27.23529412
45,2020-02-15,30.88235294
46,2020-02-16,31
47,2020-02-17,48.29411765
48,2020-02-18,53
49,2020-02-19,67
50,2020-02-20,83
51,2020-02-21,59.94117647
52,2020-02-22,72.64705882
53,2020-02-23,80.82352941
54,2020-02-24,58.11764706
55,2020-02-25,54.35294118
56,2020-02-26,41.94117647
57,2020-02-27,40.35294118
58,2020-02-28,50.52941176
59,2020-02-29,59.70588235
60,2020-03-01,66.47058824
61,2020-03-02,57.41176471
62,2020-03-03,43.70588235
63,2020-03-04,57.52941176
64,2020-03-05,64.05882353
65,2020-03-06,80.70588235
66,2020-03-07,86.76470588
67,2020-03-08,64.88235294
68,2020-03-09,61.47058824
69,2020-03-10,81.88235294
70,2020-03-11,85.41176471
