,date,mean
217,2018-08-06,59.11764706
218,2018-08-07,62.82352941
219,2018-08-08,64
220,2018-08-09,65.17647059
221,2018-08-10,82.29411765
222,2018-08-11,74.58823529
223,2018-08-12,71
224,2018-08-13,51.05882353
225,2018-08-14,43.94117647
226,2018-08-15,44.17647059
227,2018-08-16,40.94117647
228,2018-08-17,49.23529412
229,2018-08-18,40.35294118
230,2018-08-19,23.70588235
231,2018-08-20,29.64705882
232,2018-08-21,64.64705882
233,2018-08-22,71.41176471
234,2018-08-23,59.52941176
235,2018-08-24,82.82352941
236,2018-08-25,65.64705882
237,2018-08-26,60.88235294
238,2018-08-27,57.70588235
239,2018-08-28,60.76470588
240,2018-08-29,66.41176471
241,2018-08-30,50.70588235
242,2018-08-31,44
243,2018-09-01,52.47058824
244,2018-09-02,67.11764706
245,2018-09-03,63.94117647
246,2018-09-04,62
247,2018-09-05,80.94117647
248,2018-09-06,83.29411765
249,2018-09-07,50.88235294
250,2018-09-08,58.11764706
251,2018-09-09,66.47058824
252,2018-09-10,61
253,2018-09-11,63.41176471
254,2018-09-12,71.29411765
255,2018-09-13,73.11764706
256,2018-09-14,61.35294118
257,2018-09-15,68.82352941
258,2018-09-16,51.23529412
259,2018-09-17,69.76470588
260,2018-09-18,72.70588235
261,2018-09-19,48.47058824
262,2018-09-20,60.23529412
263,2018-09-21,93.47058824
264,2018-09-22,94
265,2018-09-23,81.82352941
266,2018-09-24,60.64705882
267,2018-09-25,60.17647059
268,2018-09-26,66.88235294
269,2018-09-27,91.11764706
270,2018-09-28,82.35294118
271,2018-09-29,96.29411765
272,2018-09-30,75.11764706
273,2018-10-01,56.88235294
274,2018-10-02,77.58823529
275,2018-10-03,90.11764706
276,2018-10-04,94.58823529
277,2018-10-05,88.58823529
278,2018-10-06,98.52941176
279,2018-10-07,82.88235294
280,2018-10-08,101.4705882
281,2018-10-09,73.76470588
282,2018-10-10,59.52941176
283,2018-10-11,83.35294118
284,2018-10-12,90.35294118
285,2018-10-13,89.47058824
286,2018-10-14,86.52941176
287,2018-10-15,88.11764706
288,2018-10-16,108.7647059
289,2018-10-17,66.76470588
290,2018-10-18,69
291,2018-10-19,69.82352941
292,2018-10-20,87.11764706
293,2018-10-21,80.88235294
294,2018-10-22,87
295,2018-10-23,95.82352941
296,2018-10-24,102.1764706
297,2018-10-25,119.0588235
298,2018-10-26,92.35294118
299,2018-10-27,78.82352941
300,2018-10-28,80.05882353
301,2018-10-29,61.52941176
302,2018-10-30,71.47058824
303,2018-10-31,77.58823529
304,2018-11-01,96.82352941
305,2018-11-02,107.0588235
306,2018-11-03,94.47058824
307,2018-11-04,82.94117647
308,2018-11-05,57.11764706
309,2018-11-06,44.70588235
310,2018-11-07,55.76470588
311,2018-11-08,55.58823529
312,2018-11-09,83.17647059
313,2018-11-10,90.88235294
314,2018-11-11,75.52941176
315,2018-11-12,103.0588235
316,2018-11-13,115.1764706
317,2018-11-14,116.5882353
318,2018-11-15,103.4705882
319,2018-11-16,58.52941176
320,2018-11-17,70.29411765
321,2018-11-18,105
322,2018-11-19,104.1176471
323,2018-11-20,104.8823529
324,2018-11-21,92
325,2018-11-22,91.70588235
326,2018-11-23,98.11764706
327,2018-11-24,132.5882353
328,2018-11-25,146.6470588
329,2018-11-26,123.4117647
330,2018-11-27,267.1764706
331,2018-11-28,306.8235294
332,2018-11-29,214.2941176
333,2018-11-30,166
334,2018-12-01,192.8235294
335,2018-12-02,116.4705882
336,2018-12-03,142.2352941
337,2018-12-04,104.1176471
338,2018-12-05,79.94117647
339,2018-12-06,77.70588235
340,2018-12-07,45.64705882
341,2018-12-08,62.05882353
342,2018-12-09,75.41176471
343,2018-12-10,108.2941176
344,2018-12-11,91.47058824
345,2018-12-12,104.8823529
346,2018-12-13,110.6470588
347,2018-12-14,92.52941176
348,2018-12-15,93.94117647
349,2018-12-16,130
350,2018-12-17,148.5882353
351,2018-12-18,141.8823529
352,2018-12-19,198.9411765
353,2018-12-20,136.9411765
354,2018-12-21,146.6470588
355,2018-12-22,142.4117647
356,2018-12-23,95.58823529
357,2018-12-24,95.64705882
358,2018-12-25,117.8823529
359,2018-12-26,69.17647059
360,2018-12-27,55.47058824
361,2018-12-28,56.05882353
362,2018-12-29,69.88235294
363,2018-12-30,72.29411765
364,2018-12-31,88.14705882
