,date,mean
0,2019-01-01,131.2941176470588
1,2019-01-02,158.7058823529412
2,2019-01-03,166.76470588235293
3,2019-01-04,82.52941176470588
4,2019-01-05,89.41176470588235
5,2019-01-06,145.58823529411765
6,2019-01-07,106.58823529411765
7,2019-01-08,68.47058823529412
8,2019-01-09,86.82352941176471
9,2019-01-10,115.17647058823529
10,2019-01-11,143.41176470588235
11,2019-01-12,198.2941176470588
12,2019-01-13,215.0
13,2019-01-14,126.94117647058823
14,2019-01-15,71.17647058823529
15,2019-01-16,107.6470588235294
16,2019-01-17,125.23529411764706
17,2019-01-18,123.05882352941177
18,2019-01-19,76.82352941176471
19,2019-01-20,94.29411764705883
20,2019-01-21,110.70588235294117
21,2019-01-22,112.52941176470588
22,2019-01-23,118.94117647058823
23,2019-01-24,85.47058823529412
24,2019-01-25,73.76470588235294
25,2019-01-26,92.29411764705883
26,2019-01-27,92.88235294117646
27,2019-01-28,105.11764705882354
28,2019-01-29,120.47058823529412
29,2019-01-30,59.76470588235294
30,2019-01-31,84.70588235294117
31,2019-02-01,87.94117647058823
32,2019-02-02,118.3529411764706
33,2019-02-03,137.0
34,2019-02-04,161.8235294117647
35,2019-02-05,134.23529411764707
36,2019-02-06,55.294117647058826
37,2019-02-07,47.05882352941177
38,2019-02-08,57.76470588235294
39,2019-02-09,44.705882352941174
40,2019-02-10,81.82352941176471
41,2019-02-11,95.94117647058823
42,2019-02-12,78.82352941176471
43,2019-02-13,54.705882352941174
44,2019-02-14,71.82352941176471
45,2019-02-15,57.8235294117647
46,2019-02-16,63.76470588235294
47,2019-02-17,73.17647058823529
48,2019-02-18,97.94117647058823
49,2019-02-19,145.94117647058823
50,2019-02-20,127.52941176470588
51,2019-02-21,129.2941176470588
52,2019-02-22,127.41176470588235
53,2019-02-23,135.88235294117646
54,2019-02-24,131.05882352941177
55,2019-02-25,104.58823529411765
56,2019-02-26,99.05882352941177
57,2019-02-27,117.82352941176471
58,2019-02-28,135.11764705882354
59,2019-03-01,139.7058823529412
60,2019-03-02,114.0
61,2019-03-03,106.82352941176471
62,2019-03-04,113.29411764705883
63,2019-03-05,111.6470588235294
64,2019-03-06,70.29411764705883
65,2019-03-07,81.23529411764706
66,2019-03-08,71.76470588235294
67,2019-03-09,100.3529411764706
68,2019-03-10,83.05882352941177
69,2019-03-11,69.47058823529412
70,2019-03-12,70.3529411764706
71,2019-03-13,85.0
72,2019-03-14,76.11764705882354
73,2019-03-15,77.82352941176471
74,2019-03-16,89.70588235294117
75,2019-03-17,88.88235294117646
76,2019-03-18,78.29411764705883
77,2019-03-19,62.64705882352941
78,2019-03-20,72.94117647058823
79,2019-03-21,56.94117647058823
80,2019-03-22,59.0
81,2019-03-23,83.11764705882354
82,2019-03-24,90.05882352941177
83,2019-03-25,101.0
84,2019-03-26,101.41176470588235
85,2019-03-27,75.82352941176471
86,2019-03-28,69.29411764705883
87,2019-03-29,80.47058823529412
88,2019-03-30,67.41176470588235
89,2019-03-31,77.23529411764706
90,2019-04-01,71.41176470588235
91,2019-04-02,72.47058823529412
92,2019-04-03,93.29411764705883
93,2019-04-04,170.11764705882354
94,2019-04-05,118.3529411764706
95,2019-04-06,96.47058823529412
96,2019-04-07,87.29411764705883
97,2019-04-08,34.588235294117645
98,2019-04-09,54.0
99,2019-04-10,80.29411764705883
100,2019-04-11,92.41176470588235
101,2019-04-12,85.17647058823529
102,2019-04-13,71.94117647058823
103,2019-04-14,80.70588235294117
104,2019-04-15,75.05882352941177
105,2019-04-16,90.6470588235294
106,2019-04-17,123.94117647058823
107,2019-04-18,75.3529411764706
108,2019-04-19,76.82352941176471
109,2019-04-20,72.52941176470588
110,2019-04-21,65.82352941176471
111,2019-04-22,43.76470588235294
112,2019-04-23,82.05882352941177
113,2019-04-24,51.11764705882353
114,2019-04-25,49.11764705882353
115,2019-04-26,61.05882352941177
116,2019-04-27,44.529411764705884
117,2019-04-28,60.35294117647059
118,2019-04-29,105.23529411764706
119,2019-04-30,80.17647058823529
120,2019-05-01,83.88235294117646
121,2019-05-02,81.6470588235294
122,2019-05-03,74.88235294117646
123,2019-05-04,106.76470588235294
124,2019-05-05,75.05882352941177
125,2019-05-06,76.0
126,2019-05-07,79.23529411764706
127,2019-05-08,80.3529411764706
128,2019-05-09,82.0
129,2019-05-10,66.3529411764706
130,2019-05-11,81.70588235294117
131,2019-05-12,152.58823529411765
132,2019-05-13,110.52941176470588
133,2019-05-14,75.70588235294117
134,2019-05-15,60.05882352941177
135,2019-05-16,47.0
136,2019-05-17,41.64705882352941
137,2019-05-18,79.29411764705883
138,2019-05-19,76.88235294117646
139,2019-05-20,73.52941176470588
140,2019-05-21,79.70588235294117
141,2019-05-22,83.6470588235294
142,2019-05-23,81.29411764705883
143,2019-05-24,73.05882352941177
144,2019-05-25,56.1764705882353
145,2019-05-26,52.23529411764706
146,2019-05-27,57.529411764705884
147,2019-05-28,60.294117647058826
148,2019-05-29,57.94117647058823
149,2019-05-30,63.88235294117647
150,2019-05-31,73.41176470588235
151,2019-06-01,70.94117647058823
152,2019-06-02,75.17647058823529
153,2019-06-03,75.82352941176471
154,2019-06-04,67.52941176470588
155,2019-06-05,40.11764705882353
156,2019-06-06,50.529411764705884
157,2019-06-07,56.1764705882353
158,2019-06-08,58.1764705882353
159,2019-06-09,50.588235294117645
160,2019-06-10,60.1764705882353
161,2019-06-11,64.41176470588235
162,2019-06-12,61.705882352941174
163,2019-06-13,60.05882352941177
164,2019-06-14,67.0
165,2019-06-15,59.05882352941177
